,title,review,rating
0,stupid made up policy and no response,"policy of updating mysejahtera is contrary to government policy. feedback is ignored. sadly customer service is poor,which is a shame because the rides are good fun.",1.0
1,Excellent staff,"Mr. Francis, Legoland representative provides excellent service through out our weekend visit. His kind and friendly attitude has given me and my family a pleasant trip. Bravo!!!",4.0
2,Amazing time!,"Had a lovely day (24/4) here with my family. We bought the combo tickets to enter legoland and sealife. Since it was drizzling, we started off with visiting Sealife. Love the experience there. Less crowd in the day due to Ramadan, we felt like we had the whole place to ourselves. My daughter enjoyed her time there exploring different types of sea creatures. The seahorses were beautiful. It’s not as huge as Aquaria KLCC but enough for us to enjoy.An hour later we went to Legoland. This was amazinggggg! Again there were no crowds, we didn’t have to queue and whatever rides we went on, we were treated like vips, no, we didn’t pay for hot pass whatever that is, there’s no need for that now 😆. We followed what one guy reviewed, that is to start clockwise(to your left from the main entrance). We did all the main rides first then ended the day with some easy going rides 😅 Plan your time ahead if you prefer less crowds especially during this pandemic. We had a big breakfast outside at 9am, went to Legoland at 10am sharp. Around 1pm, you’ll see more people coming in but that didn’t bother us as we’ve had already done most of the rides.Food wise, if you can afford the tickets, don’t complain about the food price 🙂 Bring mosquito repellent and umbrella! Great place for parents and children.",5.0
3,Unjustified sales of legoland annual pass,"Worst annual pass ever! Annual pass holder only can visit on weekend instead of 1 whole week. If the park’s access is only limited on Friday to Sunday, it shall not be labelled as “Annual Pass” but instead, a “Weekend Pass” that shall come with a lower price.  Such information was not fairly conveyed during the sales of Legoland’s Annual Passes and I have a strong ground to believe that such sales was not carried out with transparency and justification. The sales staff at the counter was just mentioned the two block-out months which are June and December, little did the guy further articulate more on the weekly’s limited access.The park only open on weekend start from Nov 2020 until now.",1.0
4,LOVE LEGOLAND :),"My husband and daughter went during weekdays. Ticket was free below 3 yr old and government staff got 50% off. Went to theme park. Very few people and we could play our favourite rides 3 to 4 times! My daughter loved the boat, train and concert by friends. My husband enjoyed the roller coaster. Lego was everywhere including the fries!!! Staffs were friendly. Hand statizers were everywhere too. For the sea life, it was still unique as we could see lego with sea life theme. My daughter enjoyed the park. I guess can't compare it with  aquaria klcc as it was smaller but still had good experience :) my daughter keeps mentioning legoland til now!!!! You can have dinner at BIG restaurant in Medina mall after that :)",5.0
5,Experience at Built and Test,Built and test section. Our favourite place because we can build and race our own lego car. The place is very comfortable with air cond.,5.0
6,Good,"Good service. Nice environment. Especially during this covid 19, provided many hand sanitizer for all of us. Thx",5.0
7,Great experience,"Nice place especially if you have children. Many place to explore. It will be better if you are an annual pass holder, because you can come again whenever you want",5.0
8,Family leisure time,It is well spent time with the family especially for children. Annual pass is a must to enjoy the full experience for a whole year.,5.0
9,Syok,Terbaik semua best mainan legoland Adventure for kids Waterpark also goodClean place and safety all,5.0
10,Fun at sealife,Nice place to bring your kids. Especially the sea life. My daughter enjoy it so much. Staffs were so friendly and helpful. 1 day is enough to explore the whole theme park but i got my annual triple park ticket for the price of one day ticket. So why not ? 😬,5.0
11,Lego experience,"Nice and good experience for family  and children to build up their creativity,  awareness and skills.",5.0
12,First time going to outdoor park.,Good resort all around Johor. My kids happy to be here. Themepark have many rides to enjoy along with family.,5.0
13,just have fun,I visited this place a few months ago before the Covid-19 outbreak occurred .it was one of the best places for fun for young children and teenagers with family. but need to prepare yourself for long queues especially in the famous rides. I will try there again when it comes to pandemic and use the time well in order to explore everything in one day.🥰👍🏻,4.0
14,Don't mind the rain..enjoy the park,No queues because of the monsoon season and Covid-19..my daughter ❤ got to ride on all rides many times.,5.0
15,Need better covid19 SOP controls,"I see that many guests do not follow SOP, especially while queuing many do stay in the box. There were no one controlling those in queue. I also suggest the rides to be wiped after each ride, not only to get guests to sanitize hands before taking rides.COVID19 safety controls can be improved much more. The rides are fun nonetheless.",4.0
16,So awesome even following Covid19 SOP,The park follows all standard operating precedure of covid19. Not crowded even during Christmas holiday. Follow their social media and website for the latest news and information. We completed the Brictacular holidays Candy mission and get rm20 voucher on lego set only. Follow the SOP guys! Have a great holiday.,5.0
17,AWESOME!!! EVERYTHING IS JUST AWESOME!!!!!!!!!,"Had a wonderful trip with my family at Legoland Malaysia! All the rides are well maintained and clean. Staffs are all very friendly and my son enjoyed a lot a lot. He is 3.5 years old now and he preferred Legoland a lot more than Universal Studios SG. He don't remember anything from USS, but he remembers all the song, dance and characters at Legoland Malaysia. Full of great surprises for my son (free balloons, bubbles, badges, mini performance, bed time story by Princess at the hotel...etc). We didn't know much about Legoland Malaysia till we got there and we actually extended our stays from 2 nights to 4 nights in Legoland Hotel!",5.0
18,My family and I,I love all the experience that my family and I get during our stay. Definitely will repeat again and again.,5.0
19,Best theme park hotel & best family place to have fun at theme park,"if you still doubt to go to any theme park during RMCO, please do a visit to Legoland Malaysia. this is our second time visit during RMCO and we feel very safe at every corner, from the hotel to theme park and water park as well. keep it up Legoland Malaysia is one of the safest place to have fun and play all day long. we glad that we experience Legoland during bad and good time at this trying times for all of us. Thank you Legoland Malaysia for always giving the best for all of your guest. Thanks to all the staff from concierge, bell boy to all the staff in the hotel and theme park / water park as well. Not to forget sea life Malaysia too. We wish you all the best and see you guys soon in our next trip. ",5.0
20,Everything is Awesome ,"First time here. Was a great experience because less crowded and we are able to repeat the attractions. Staff were very friendly and helpful. Sanitisation was done frequently and this had boost my confidence. Heavily pregnant, glad they have the electric wheelchair for rent. It helps me to move around.Food was pricey but it was tasty.Kudos to the young lady at the ticketing counter. When I went to collect our annual pass that we purchased online, she was very observant and noticed it was my son's birthday. She gave out a birthday badge and a small set of block as a gift. It really made his day. #kindgesturethatmatters",5.0
21,Wonderful,I love every part of Legoland hotel and park. The concept is energising. And the staff is very friendly and professional. Thank you for the wonderful experience. Hopefully in the future after covid-19 is gone. The lego will b put back in the hotel & park for more excitement.,5.0
22,Quick emergency response,"I can say that our visit to LEGOLAND was very short as my father had an heart attack after just a few minutes of arrival. So, we didn’t get the chance to enjoy the activities there. But, till today, I am very thankful for the service offered by the staff. They called for an ambulance and accompanied us all the way to the hospital. Couldn’t imagine how bad the situation was without their help. Thank you for such kind treatment. Keep it up.",5.0
23,Great without crowds!,"We came before the govt. imposed CMCO for Selangor, KL & Putrajaya. Due to Covid19, Legoland Park was a bit deserted. We came on Monday, no crowds & you can play/ride over and over again without queuing. The workers are nice & friendly. They followed the SOP strictly. Some of  the Lego statues, pavements are discoloured & needs serious maintenance. ",5.0
24,Poor Gift Shop Policy,"Date of visit - 10/10/2020.Hi I am Mr Ahmed. I really enjoyed the theme park, wouldn't comment much on it except for the super overpriced typical funfair games. The staff in charge was not very consistent and tried scamming us. Initially when asked whether we can do a practice toss at one of the game, she said it is not allowed as there are CCTVs, but when we lost the game, she offered us another 8 round of the games for the same price of RM30. Did the CCTV she mentioned earlier on just vanished???? I wonder if we agreed, would the extra RM30 gone into her own pocket? Now, my main concern is the policy of the gift shop.Before exiting the theme park,I went to the big shop at the entrance, and bought 2 t-shirts which can be personalised ( names printing etc). Was told by the cashier that we can come again tomorrow for printing if we want - probably it was already 5pm that they suggested so.So we came back the next day, asked to pay a refundable RM189 deposit each person to go back to the shop. Apart from that, maximum time allowed is 45minutes, and each person has to spend minimum RM100 at the shop - if not, the deposit will not be returned.So, what if a person bought a less than RM100 tshirt/keychain/ or whatever, and decided to change that because of wrong size, or he/she just want to add on maybe few items which in total is less than RM100????? Is it fair that you are charging them the full amount of RM189????? Where is the logic in this???? I understand that they may not want people to go freely inside and play in the theme park, but you guys could just give your customers special bracelet/tags for the purpose of changing/returning/purchasing goods, just think of whatever is deemed more convenient to you and most importantly to your visitors!",2.0
25,Fun for the whole family,Fun and excitement for the whole family although that most of the ride are for 6 yrs and above . Still both of my Kids really enjoy their time at Legoland,5.0
26,Family Trip,It was an enjoyable moment of our family especially for the children. We really loved Legoland it’s so beautiful. ,5.0
27,Everything Is Awesome!!,"This is the third time staying in Legoland Malaysia Hotel because my kids loved it so much. This round we choose to stay in the Premium Kingdom Themed for 2 nights, the view is so nice which was facing Water Park - really nice view. Room was tidy & spacious with separate bunker beds for the kids. My kids also enjoy the treasure hunt - never feel boring even though already play before (different themed room requires different code to open the chest box). The hotel is just next to the theme park, few mins walking distance..hehe Great hotel, the staff was so genuinely friendly and helpful. I was most impressed by the hospitality service of Mr Eddie (Reception Mgr). He is so kind and warm, accommodating to our every needs. Ohya, and also Ms Roziana & Ms Syida. I’m looking forward seeing them again next time visit! Thank you, Legoland Malaysia! Highly recommended to stay here guys!",5.0
28,Enjoyable trip but still need some improvement,"1. It was a bit frustrating when some of the activities inside the dry themepark were closed for about 1 hour. We truly understand if it was closed due to maintainence or renovation. But 1 hour break closed is considered quite long especially if we’re rushing to finish the whole themepark within 1 day and ended up there are activities that we didnt get to try, the price that we paid to enter all the themeparks is not cheap though. Instead of 1 hour break, I think a rotation of staff/crew members at the respective areas is much better and beneficial to the visitors.2. The themepark management seriously need to do something about the mosquitoes in the themepark. There were lots of mosquitoes and it is dangerous coz we noticed that some of them are “Aedes”.3. We understand that buffet breakfast concept is not allowable at this moment due to the pandemic. Breakfast served was ok, but with the price that we paid (average RM20/person) I think the choices of food are limited and not worth the money since little kids didnt really eat that much. Perhaps the Hotel can consider to provide some complimentary snacks inside the room as well since the breakfast provided can be considered as “simple” or “nothing fancy/special”.4. With the room price of RM700++/night (luckily there’s promotion for hotel room at the moment), it will be more nicer if there is a rainshower inside the bathroom as compared to the normal shower that the room has now. Almost every hotel with the average price of RM300++/night provide a bathroom with a rainshower.5. On our last day at the Hotel, there was an event for the Ministry. We understand that there are VVIPs. But to reserve and close “4 elevators” for the VVIPs when they are yet to arrive is quite annoyed when the hotel guests (mostly families with small kids) need to wait longer since only 2 elevators are allowed to be used for the hotel guests and with the current pandemic situation, limited number of people could enter the elevators at the same time for safety reasons.Overall, we had fun during our stay but there are certain things that require improvement from the Hotel.",4.0
29,Helpful Staff,Really love this place. SOP regarding Covid-19 very good. The staf was very friendly helpful. Will be back to enjoy excitement at Legoland,5.0
30,Soso experience,Water park is good. With mco limited time and space. Can only spend 20 min at any atteaction and rhen have to get out. Have to queue again. The queue line not clear. Chinese tourist kept jump the line. Theme park look soo old and dilapited esp mini park. Most of the attraction and reataurant were closed. Better take the annual pass if possible as you may not be able to gonthru all the rides due to mco,3.0
31,Fun day out,A really fun day out in a well-organized park with friendly and helpful staff. It was pretty quiet so practically no queuing for rides and lots to do. Our little one wanted to go back again the next day but we will have to save it for next time. Decent food in the cafe too. A fun day out.,5.0
32,Awesome place for the kids,"This is an awesome place for the kids. They do have height limitation for each game. I went together with my 5 yo kid and 2yo kid. It is free for kid below 3yo. But she is still able to enjoy some show like friends, ninjago ride and some photo shooting with the hero! The 5 yo kid love this place so much. But it still better for those 6yo kids as some of the ride/game need at least 6yo. This place is stroller friendly and baby friendly. The food at the cafe is nice especially the lasagna. During the RMCO, their SOP for social distancing is well done. I love their family social distancing. You can see almost everywhere supply with the hand sanitizer. They will sanitize after each ride. Too bad due to this pandemic, they cancelled the exchanging minifigure.",5.0
33,Appreciation,"I do miss my Legoland during this Covid-19 MCO and finally I have the chance to check in.  While I was going to renew my annual pass, the Legoland administrative provided me the good news of the 3 months extended validity for my annual pass.  Also 20% off for all merchandizes that caught my attention to grab even more of my favourite collections.  This shows the sincerity of Legoland management for their loyal customer.Of all above, there is one guy wearing blue t-shirt (later found out his name is Mr. Francis) that caught my attention that always emphasize and remind us of keeping our distancing and self-caution of surrounding.  I'm glad that Legoland did a very good job of providing social distancing and hand sanitizer could be found almost anywhere.  It makes me feel confident whenever I step in Legoland.",5.0
34,Covid 19 Travel,"Due to Covid 19, theme park guest require to follow the rules. Wearing mask all the time in the them park & sanitize for each rides.Great time for kids.",4.0
35,below expectations,"not really up to my expectation, attractions are too common and not fun, and it's really hot weather for such theme park",3.0
36,Good sanitisation practice during covid season,"Good sanitisation practices during this covid season. All rides are sanitized after each ride. Hand sanitizer are everywhere. My 5yo is enjoying quite a number of rides while the 2yo is having slightly less fun due to age limit although he meets some of the height requirement. Weather is hot and humid. Face masks are soaking wet yet we salute the staffs who have to wear the mask all day long under the sun. There are no connected shade in the park or between the parks (theme park, water park, sea life). It is either you get toasted in a big sunny day or get wet during a rainy day. Properly it will be good to consider opening earlier at 8am instead of 10am. Lastly I would like to suggest Legoland to have more hand washing facilities at the eateries inside the park. Currently it always require a bit of walking which is not convenient for families with kids. This is especially essential in this covid season.Thank you Legoland!",4.0
37,Thank you LEGOLAND!,"It was a great experience, fun and we really enjoy our trip to legoland! Value for money! The legoland staff are so nice and friendly. Its covid19 year and they are strictly handled the SOP which u could feel the secure and safety. We are so HAPPY! thank you!",4.0
